rest_date,next_date,next_cluster,transition_type
2025-11-26,2025-11-27,0,Rest → Other
2025-11-28,2025-11-29,2,Rest → Low Performance
2025-11-29,2025-11-30,2,Rest → Low Performance
2025-11-30,2025-12-01,0,Rest → Other
2025-12-07,2025-12-08,0,Rest → Other
2025-12-14,2025-12-15,0,Rest → Other
2025-12-24,2025-12-25,2,Rest → Low Performance
2025-12-25,2025-12-26,2,Rest → Low Performance
2025-12-26,2025-12-27,2,Rest → Low Performance
2025-12-27,2025-12-28,2,Rest → Low Performance
2025-12-28,2025-12-29,0,Rest → Other
2025-12-30,2025-12-31,2,Rest → Low Performance
2025-12-31,2026-01-01,2,Rest → Low Performance
2026-01-01,2026-01-02,2,Rest → Low Performance
2026-01-02,2026-01-03,2,Rest → Low Performance
2026-01-03,2026-01-04,0,Rest → Other
2026-01-10,2026-01-11,2,Rest → Low Performance
2026-01-11,2026-01-12,0,Rest → Other
2026-01-17,2026-01-18,2,Rest → Low Performance
2026-01-18,2026-01-19,0,Rest → Other
2026-01-25,2026-01-26,0,Rest → Other
2026-01-31,2026-02-01,1,Rest → Deep Work
